Area_sqft,Bedrooms,Bathrooms,House_Age,Location,Price
1554,4,5,5,Urban,16880738.0
3233,5,4,8,Urban,26386287.0
1851,1,2,9,Urban,16270678.0
2620,5,4,7,Urban,22128055.0
2131,5,6,7,Suburban,16696206.0
2984,1,2,30,Suburban,16016825.0
1704,3,2,30,Urban,14379773.0
811,2,3,6,Urban,10329786.0
1529,2,1,6,Urban,14868533.0
2707,4,3,15,Urban,21816298.0
2672,2,2,17,Urban,18539135.0
3932,3,3,14,Prime,30072207.0
1348,2,2,17,Urban,11642353.0
1981,5,6,10,Suburban,19869067.0
3812,5,5,17,Prime,31304632.0
893,5,5,5,Urban,13480345.0
2951,1,2,30,Prime,22157860.0
3853,5,4,5,Suburban,26069842.0
3710,2,1,28,Urban,23026664.0
2865,4,5,14,Urban,23272325.0
3623,1,1,24,Urban,22391582.0
1190,2,3,20,Urban,11402848.0
3148,2,3,26,Urban,22237533.0
2852,2,2,3,Suburban,19771619.0
2272,1,1,14,Urban,17017410.0
3974,1,1,4,Suburban,23643996.0
3457,4,4,14,Suburban,23224083.0
1233,4,3,1,Urban,14286629.0
3931,2,3,20,Suburban,23703405.0
3488,1,1,1,Suburban,21596789.0
1806,2,1,28,Suburban,10907294.0
2946,2,1,28,Suburban,17494457.0
3237,1,1,28,Urban,20797205.0
1275,1,2,20,Prime,14481545.0
1415,4,5,20,Prime,17206252.0
1146,1,2,16,Prime,12232558.0
2123,1,1,29,Urban,14853339.0
3839,4,3,28,Suburban,24985255.0
1866,5,4,22,Urban,17052284.0
1691,2,1,13,Urban,13259903.0
3730,5,6,8,Prime,33445390.0
2044,4,3,13,Prime,22117762.0
715,5,6,15,Suburban,10462604.0
2796,2,2,19,Suburban,16776362.0
3176,3,3,12,Prime,27996832.0
2041,3,3,9,Suburban,15095477.0
3809,5,4,12,Urban,30010545.0
500,5,6,16,Prime,15650540.0
3534,5,4,9,Suburban,25503069.0
1410,2,2,27,Urban,12335748.0
3299,2,2,4,Suburban,20339051.0
2152,2,1,30,Urban,13508041.0
2771,5,4,24,Suburban,18492939.0
3164,5,6,5,Prime,31185193.0
3641,4,4,1,Urban,26668782.0
2622,3,3,23,Suburban,19170760.0
2730,3,4,6,Urban,22503696.0
2005,4,3,3,Suburban,17719733.0
689,4,5,17,Suburban,8681391.0
1168,5,4,29,Suburban,11690982.0
907,5,4,22,Suburban,10948415.0
3246,2,3,30,Urban,21940784.0
883,3,4,6,Urban,10783578.0
1154,2,3,27,Urban,11419464.0
1291,2,3,26,Urban,13632486.0
3033,4,5,25,Prime,25802738.0
1592,3,3,2,Suburban,13045582.0
2240,4,3,10,Urban,21512819.0
2882,2,2,21,Urban,20190890.0
2432,2,3,27,Suburban,16141602.0
2191,2,2,14,Suburban,14980664.0
1843,2,1,7,Urban,15858669.0
3795,1,2,0,Suburban,22695696.0
1210,2,3,0,Urban,11360595.0
3278,5,6,29,Urban,25840652.0
1094,4,3,14,Urban,14971286.0
2174,3,2,24,Prime,21807909.0
2745,4,3,0,Suburban,19406189.0
1517,4,5,11,Urban,17255125.0
1466,2,2,22,Suburban,10085854.0
1095,2,2,3,Suburban,9445376.0
549,1,2,5,Suburban,4152161.0
1421,1,2,23,Suburban,8438775.0
1174,4,4,8,Urban,14545606.0
2781,1,1,15,Suburban,15564711.0
3724,3,3,28,Urban,25565837.0
590,4,3,2,Urban,10628015.0
2990,3,4,20,Suburban,20001103.0
1913,1,2,5,Suburban,13851994.0
2530,2,1,8,Prime,22265384.0
3867,1,2,26,Suburban,20510631.0
1905,2,2,30,Suburban,11697338.0
914,1,1,15,Prime,10980340.0
3362,2,2,0,Urban,22684683.0
3614,2,1,2,Urban,25114194.0
1421,3,3,16,Urban,14656344.0
2540,4,5,4,Suburban,20093982.0
2715,4,4,29,Suburban,19115459.0
952,1,1,9,Prime,14060108.0
542,1,1,16,Urban,8638796.0
576,1,1,24,Suburban,6418544.0
2759,1,1,14,Prime,22171288.0
2664,1,1,8,Prime,21825166.0
3903,3,2,7,Urban,27158708.0
2597,2,1,23,Urban,19307466.0
2979,4,4,26,Suburban,20909509.0
2133,2,3,6,Urban,17530281.0
768,3,4,7,Suburban,8799549.0
1677,2,2,10,Suburban,12385630.0
